idbusinessinfo,clientname,week,estimated_load_date,pre_etd,etd,eta,vessel_voyage,pol,pod,businessinfocol,numctrs,type_ctrs,booking_no,master_no,num_hbls,container_no,shipping_line,freeddday,cost_org,sale_org,set_org,local_org,venta_dest,costhbl_dest_description,costhbl_dest,costhbl_dest_status,topaid_org_description,topaid_org,topaid_status,toinvoice_dest_description,toinvoice_dest,toinvoice_dest_status,profit,hbl_canjeado_status,devolution_ctrs_inidate,devolution_ctrs_findate,operation_status,bl_type,release_type
12,YAO,2021-W43,,2021-10-03,,2021-12-11,MSC PHOENIX XA142A,NINGBO,"San Antonio,Chile",,1,40HR,177FNBNBN0A682A,MEDUNL523929,,,MSC,14,15435,16200,15800,0,,,,,,,,,,,,,,,,,
13,öéASIAMERIC,2021-W43,,2021-10-03,,2021-12-11,MSC PHOENIX XA142A,NINGBO,"San Antonio,Chile",,1,40HR,177FNBNBN0A683A,MEDUNL523937,,,MSC,14,15435,16200,15800,0,,,,,,,,,,,,,,,,,
14,,2021-W42,,2021-10-21,2021-10-31,,CORCOVADO 2142E,NINGBO,"Valparaiso,Chile",NO ‰∫èËà±,1,40HQ,177FNBNBN0A696A,,,,MSC,14,,,,500,,,,,,,,,,,,,,,,,
15,ö28HIPER ASIA,2021-W44,,2021-11-04,2021-11-15,2021-12-23,CAUTIN 2144E,NINGBO,"Valparaiso,Chile",Aforo 3Â§©ÈôÑÂä†Áî®ÁÆ,1,40HQ,177FNBNBN0A716A,MEDUNL801556,,,MSC,14,15700,16100,15900,-172,,,,,,,,,,,,,,,,,
16,,2021-W44,,2021-11-06,2021-11-19,,MSC PERLE FA143A,NINGBO,"San Antonio,Chile",ÏàâÜ100,1,40HQ,177FNBNBN0A717A,,,,MSC,14,15640,15840,-100,0,,,,,,,,,,,,,,,,,
17,,2021-W44,,2021-11-06,2021-11-19,,MSC PERLE FA143A,NINGBO,"San Antonio,Chile",ÏàâÜ100,1,40HR,177FNBNBN0A718A,,,,MSC,14,15640,15840,-100,0,,,,,,,,,,,,,,,,,
18,ö28HIPER ASIA,2021-W45,,2021-11-13,2021-11-26,2022-01-19,MSC LAUREN FA144A,NINGBO,"San Antonio,Chile",Aforo,1,40HR,177FNBNBN0A774A,MEDUNP056702,,,MSC,14,15700,16100,15900,0,,,,,,,,,,,,,,,,,
19,öéASIAMERIC,2021-W45,,2021-11-13,2021-11-26,2022-01-19,MSC LAUREN FA144A,NINGBO,"San Antonio,Chile",,1,40HQ,177FNBNBN0A775A,MEDUNP056710,,,MSC,14,15700,16100,15900,400,,,,,,,,,,,,,,,,,
20,öéASIAMERIC,2021-W45,,2021-11-13,2021-11-26,2022-01-19,MSC LAUREN FA144A,NINGBO,"San Antonio,Chile",,1,40HQ,177FNBNBN0A780A ,MEDUNP079761,,,MSC,14,15700,16200,15900,400,,,,,,,,,,,,,,,,,
21,,2021-W45,,2021-11-13,2021-11-26,,MSC LAUREN FA144A,NINGBO,"San Antonio,Chile",ÏàâÜ200,1,40HR,177FNBNBN0A781A ,,,,MSC,14,15700,16100,-200,0,,,,,,,,,,,,,,,,,
22,ö28HIPER ASIA,2021-W47,,2021-11-27,2021-12-14,2022-02-02,MSC NATASHA FA146A,NINGBO,"San Antonio,Chile",–U5>lüˆçl5>51USD /ÿ˝Ö,1,40HQ,177FNBNBN0A815A,MEDUNP212313,,,MSC,14,15700,16100,15900,-51,,,,,,,,,,,,,,,,,
23,èåWS CARGO,2021-W47,,2021-11-27,2021-12-14,2022-02-02,MSC NATASHA FA146A,NINGBO,"San Antonio,Chile",,1,40HQ,177FNBNBN0A816A,MEDUNP212321,,,MSC,14,15700,16200,15900,0,,,,,,,,,,,,,,,,,
24,€ˆIS-Y-C,2021-W47,,2021-11-27,2021-12-14,2022-02-02,MSC NATASHA FA146A,NINGBO,"San Antonio,Chile",Cobro 100 USD comision,1,40HR,177FNBNBN0A817A,MEDUNP224276,,,MSC,14,11440,12500,11825,0,,,,,,,,,,,,,,,,,
25,€ˆIS-Y-C,2021-W47,,2021-11-27,2021-12-14,2022-02-02,MSC NATASHA FA146A,NINGBO,"San Antonio,Chile",Cobro 100 USD comision,1,40HR,177FNBNBN0A818A,MEDUNP224284,,,MSC,14,11440,12500,11825,0,,,,,,,,,,,,,,,,,
26,€~≈NUEVO SIGLO,2021-W47,,,2021-11-25,2022-01-05,MAERSK SAVANNAH 146E,NINGBO,"San Antonio,Chile",se pago dias demurage 950 usd 190 por dia (5 dias de uso d&d Êâ£‰∏≠ÂõΩ,1,40HQ,1KT303140,,,,MSK,5,14500,15200,14850,-475,,,,,,,,,,,,,,,,,
27,ö28HIPER ASIA,2021-W47,,2021-11-27,2021-12-14,2022-02-02,MSC NATASHA FA146A,NINGBO,"San Antonio,Chile",–U5>lüˆçl5> 51USD /ÿ˝Ö,1,40HQ,177FNBNBN0A842A,MEDUNP341708,,,MSC,14,15700,16100,15900,-51,,,,,,,,,,,,,,,,,
28,öéASIAMERIC,2021-W47,,2021-11-27,2021-12-14,2022-02-02,MSC NATASHA FA146A,NINGBO,"San Antonio,Chile",,1,40HR,177FNBNBN0A843A,MEDUNP341716,,,MSC,14,15700,16100,15900,400,,,,,,,,,,,,,,,,,
29,èåWS CARGO,2021-W47,,2021-11-27,2021-12-14,2022-02-02,MSC NATASHA FA146A,NINGBO,"San Antonio,Chile",,1,40HQ,177FNBNBN0A844A,MEDUNP341724,,,MSC,14,11440,12500,11825,0,,,,,,,,,,,,,,,,,
30,æ…˝Eö;KANG KANG,2021-W47,,2021-11-27,2021-12-14,2022-02-02,MSC NATASHA FA146A,NINGBO,"San Antonio,Chile","Paga en origen,  675 USD venta (Êâ£‰∏≠",1,40HQ,177FNBNBN0A845A,MEDUNP341732,,,MSC,14,11440,12500,-675,0,,,,,,,,,,,,,,,,,
31,öéASIAMERIC,2021-W49,,2021-12-11,2022-01-03,2022-02-10,MSC ELISA FA148A,NINGBO,"San Antonio,Chile",,1,40HQ,177FNBNBN0A854A,MEDUNP447778,,,MSC,14,15700,16100,15900,400,,,,,,,,,,,,,,,,,
32,öéASIAMERIC,2021-W49,,2021-12-11,2022-01-03,2022-02-10,MSC ELISA FA148A,NINGBO,"San Antonio,Chile",,1,40HQ,177FNBNBN0A855A,MEDUNP447786,,,MSC,14,15700,16100,15900,400,,,,,,,,,,,,,,,,,
33,èåWS CARGO,2021-W49,,2021-12-11,2022-01-03,2022-02-10,MSC ELISA FA148A,NINGBO,"San Antonio,Chile",,1,40HQ,177FNBNBN0A856A,MEDUNP447794,,,MSC,14,11440,12500,11825,0,,,,,,,,,,,,,,,,,
34,öéASIAMERIC,2021-W49,,2021-12-11,2022-01-03,2022-02-10,MSC ELISA FA148A,NINGBO,"San Antonio,Chile",,1,40HR,177FNBNBN0A899A,MEDUNP742301,,,MSC,14,16022,16100,16060,400,,,,,,,,,,,,,,,,,
